職稱,薪資原始字串,職缺所需學歷
Data Scientist / Business Analyst｜資料科學家 / 商業分析師,待遇面議,大學
資料科學家 (Data Scientist – Solution Delivery),"年薪1,100,000~2,000,000元",大學
資深資料科學家  Senior/Junior Data Scientist,待遇面議,大學
資料科學家 Data Scientist,待遇面議,大學
Data Scientist | 資料科學家,待遇面議,大學
【新創私募基金】Data Scientist 資料科學家,"年薪1,500,000~2,500,000元",碩士
RD-資料科學家 Data Scientist,待遇面議,大學
"資料科學家Data Scientist | 生物資訊Bioinformatics, 系統生物 System Biology","年薪800,000元以上",碩士
MITxTaipei Tech-AI資料科學家/AI工程師,待遇面議,碩士
全電商營運部-資料科學家( Data Scientist),待遇面議,大學
富邦證券-資料科學家暨數據分析人員,待遇面議,大學
資料科學家Data Scientist,待遇面議,大學
資料科學家(Data Scientist)-台北(Taipei),待遇面議,大學
Clinical Data Scientist I,待遇面議,碩士
[資深]資料科學家_(創新發展處_擴編),待遇面議,大學
Sr. Data Scientist 資深資料科學家,待遇面議,大學
資料科學家_(創新發展處_擴編),待遇面議,大學
新光人壽_AI資料科學家,待遇面議,大學
Proptech/Fintech資料科學家/AI 機器學習工程師,"年薪900,000元以上",大學
算法科學家/資料科學家/數據分析師,"月薪50,000~100,000元",大學
經企_資料科學家 / AI數據架構師,待遇面議,大學
AI資料科學家,"月薪45,000元以上",大學
資料科學家,待遇面議,碩士
資料科學家(AI工程師)-AI系統二team【全家便利商店關係企業】,待遇面議,大學
資料科學家/工程師,待遇面議,大學
統一超商資深資料科學家(uniopen客戶資料平台CDP),"月薪50,000~120,000元",大學
【大數據發展事業處】資料科學家 Data Scientist,待遇面議,大學
資料科學家-AI系統二team【全家便利商店關係企業】,待遇面議,大學
【SMAI】Intelligence Scheduling and Simulation Data Scientist 排程模擬與最佳化《資料科學家》,待遇面議,碩士
Data Scientist,"年薪910,000~1,800,000元",大學
資料科學家_高雄/桃園,待遇面議,大學
Data Scientist (SAS programming) 資料科學家,待遇面議,大學
人壽資料科學家(Data Scientist),待遇面議,大學
【Going Cloud 】Senior Data Scientist,待遇面議,大學
Senior Data Scientist,待遇面議,大學
1J00-醫學研究部 應用資料科學家,待遇面議,碩士
資料科學家(高雄/桃園),待遇面議,大學
資料科學家【資訊技術服務處】(台北),"月薪30,000~60,000元",大學
資料科學家,待遇面議,大學
AI Data Scientist,"月薪80,000元以上",大學
AI數據科學家/ AI機器學習工程師（金融投資領域）,"月薪60,000元以上",大學
Data Scientist(資料科學家/AI 工程師),待遇面議,碩士
資深資料分析師 / 資料科學家  | (Senior) Data Analyst / Scientist,待遇面議,學歷不拘
AI 工程師 / 資料科學家,待遇面議,碩士
(Senior)Data Scientist,待遇面議,大學
【MyGo AI大數據】Proptech/Fintech/  AI 機器學習工程師/資料科學家,待遇面議,大學
科技金融_自然語言處理科學家/資料科學家,待遇面議,大學
(大數據)零售研究員/資深研究員【擴編】,待遇面議,大學
工研院材化所_材料化工領域數據分析師/資料科學家(X200),待遇面議,碩士
資料科學家(AI工程師)-AI系統一team【全家便利商店關係企業】,待遇面議,大學
資料科學家(大數據發展處),待遇面議,大學
D02-資料工程師(DE)_旅遊科技部_數據營運組,待遇面議,大學
資料工程師 (電商專案),待遇面議,大學
【總管理處】DIN_Data Scientist/ Senior Data Scientist,待遇面議,碩士
數據科學家 / Data Scientist,待遇面議,大學
AI 應用型人才,"月薪35,000~70,000元",高中
【MyGo AI大數據】Proptech/Fintech-Python後端工程師/資料科學家/數據分析師,待遇面議,大學
AI Data Engineer AI 資料工程師,待遇面議,專科
數據科學家(統計) Data Scientist(Statistician) (Data Science & AI Team),待遇面議,碩士
I3901 資深雲端數據治理與架構師,待遇面議,大學
AI Engineer (Manufacturing Domain)_ 先進技術暨應用_資訊處(台北),待遇面議,大學
AI應用專員(高雄分公司),待遇面議,專科
高薪挑戰｜蝦皮／momo平台營運 會AI工具加分｜未來可培養管理職,"月薪42,000~48,000元",學歷不拘
【外商職缺】知名美商上市管顧公司 RDI Center of Expertise | 熟悉Excel/有AM經驗人才/Coordinator經驗佳_RFS_883,"月薪50,000~53,000元",大學
AI圖像生成師,"月薪42,000~52,000元",學歷不拘
【Going Cloud】Solution Architect (GenAI),待遇面議,大學
資料工程師 (Data Engineer),待遇面議,高中
AI 電腦視覺工程師 (AI Computer Vision Engineer),待遇面議,大學
AI多媒體師,"月薪52,000~55,000元",學歷不拘
R0009676: (Sr.) AI/ML engineer (Griffin),待遇面議,大學
【詩特莉第一屆 AI 實習生計畫】AI Workflow 專案實習生（3–12 個月）,時薪220~260元,專科
資料科學家(需大直駐點),待遇面議,大學
Sales Operation (ELT),待遇面議,大學
AI Agent工程師,待遇面議,專科
D4000 資料科學家,待遇面議,大學
AI 時代高效全端/後端工程師 (AI 團隊架構師),待遇面議,大學
Data Scientist(Decision Optimization) (Data Science & AI Team),待遇面議,碩士
ISP演算法工程師,待遇面議,碩士
AI 賦能專員 (AI Empowerment Specialist),"月薪38,000~45,000元",專科
"AI資料科學家 Data&AI Scientist - 集團徵才(數數發中心, DDT)_I00016334",待遇面議,學歷不拘
AI/ML Engineer - Generative media (TTS/image/video),待遇面議,大學
U-Net 實習工程師/學生兼職工程師,時薪250~400元,學歷不拘
R0008503: Sr. Data Scientist (AI Lab),待遇面議,碩士
數據分析師,"月薪45,000~70,000元",大學
AW0610–AI 資料科學家,待遇面議,碩士
東海大學智慧永續循環經濟研究中心誠徵資料工程師,"月薪42,000~60,000元",碩士
董事長特助（AI/資料科學與數位轉型）｜Data Scientist & AI Engineer,待遇面議,大學
人工智慧語言模型工程師,"月薪40,000元以上",大學
系統整合專案管理師(MES PM)_台灣製造本部TW2(中壢),待遇面議,大學
數據工程師 | 數據中台【股感媒體科技】,待遇面議,專科
"AI/ML Model Data Modeler, Data Chapter",待遇面議,大學
AI Engineer — Knowledge Graph & Neo4j (RAG-Focused),待遇面議,碩士
Data Analysis Leader,"年薪2,500,000~3,000,000元",大學
【新北中和】AI電商優化經理,"月薪50,000元以上",學歷不拘
元大銀行-防制洗錢部-金融犯罪防制資料科學家,"月薪42,000元以上",大學
AI(助理)工程師,待遇面議,大學
【新竹】荷蘭半導體領導品牌_Regional Planning *SCM *Data Analytics (KTS_1830),"月薪48,000~55,000元",大學
Central Lab Senior Scientist,"月薪45,000~80,000元",碩士
資料科學家/儲備主管,"月薪40,000~75,000元",碩士
Data Science Specialist,待遇面議,大學
產品管理PM,待遇面議,大學
AI ML 深度學習 研發工程師,待遇面議,專科
AI深度學習演算法工程師,待遇面議,碩士
AI深度學習工程師,待遇面議,專科
115年研發替代役/預聘-深度學習開發工程師(新竹),待遇面議,碩士
資料科學/深度學習工程師,待遇面議,大學
AI 工程師、深度學習工程師、人工智慧研究員（AI Engineer）,"月薪60,000~80,000元",碩士
AI氣象應用工程師(PS120),待遇面議,專科
【DL/ML】Deep Learning / Machine Learning Engineer (深度學習/機器學習工程師),待遇面議,大學
深度學習演算法工程師(新竹)-IGEC0140,待遇面議,大學
科技金融_資料科學家/深度學習演算法工程師(電腦視覺/應屆畢業可),待遇面議,碩士
深度學習演算法工程師,待遇面議,大學
工研院電光系統所_深度學習編譯器/嵌入式系統軟體工程師(T200/T300/T500/AI Compiler、嵌入式系統開發)(含研發替代役),待遇面議,碩士
初級大型語言模型 (LLM) / 機器學習 (ML) 工程師,待遇面議,大學
資料科學/深度學習工程師  Data Scientist / Deep Learning Engineer,待遇面議,碩士
AI 應用演算法工程師【深度學習】(AG0010),待遇面議,碩士
創設部-AI開發工程師,"月薪40,000元以上",大學
資深感知演算法工程師/Senior Perception Algorithm Engineer,待遇面議,碩士
AOI/AI影像深度學習工程師,待遇面議,大學
資深 AI/機器學習工程師 Sr. AI/ML Engineer,"年薪1,300,000元以上",碩士
CV 影像辨識 演算法工程師,待遇面議,專科
【S】機器人控制深度學習演算法開發工程師,待遇面議,大學
資訊管理部 工程師（AI專案）,待遇面議,大學
深度學習軟體設計實習生(在學學生長期實習 ),時薪196~220元,大學
AI資深工程師,待遇面議,大學
AI應用管理師,"月薪50,000元以上",大學
機器學習工程師Junior Machine Learning Engineer,待遇面議,大學
數位金融部-AI應用規劃師,待遇面議,大學
邊緣運算系統工程師,待遇面議,大學
AI客服程式機器人工程師,待遇面議,大學
桃竹區-AI講師(機器學習、深度學習、自然語意、影像辨識...),"時薪500~1,100元",大學
AI 賦能專員 (AI Empowerment Specialist),"月薪38,000~45,000元",專科
【Going Cloud】Solution Architect (GenAI),待遇面議,大學
影像應用分析師(衛星/航拍影像),待遇面議,大學
AI 生醫應用工程師（Medical AI Engineer）-中部辦公室(虎尾科大),待遇面議,大學
【資訊】AI工程師(數據分析或模型調教),待遇面議,大學
AI工程師,待遇面議,大學
Garena - AI Localization part-time AI 在地化（時薪制）,時薪200~500元,高中
AI Agent工程師,待遇面議,專科
AI Data Scientist,"月薪80,000元以上",大學
AI Agent 工程師,待遇面議,碩士
生成式AI工程師,待遇面議,大學
AI應用整合工程師 AI Solutions Engineer,待遇面議,專科
安環高雄/資訊工程師(數位AI),"月薪40,000~47,000元",大學
AI 工程師,待遇面議,專科
深度學習/機器學習/影像處理工程師(I7S1),待遇面議,碩士
AI 工程師,待遇面議,大學
人工智慧語言模型工程師,"月薪40,000元以上",大學
AI影音生成工程師,待遇面議,大學
【RD】AI整合應用工程師 | AI Integration Engineer | 專注於AI應用整合開發，打造智能數位解決方案,待遇面議,大學
AI技術研發與內容生成師 (Gen AI Engineer/Artist),待遇面議,大學
HPC 工程師/基礎設施平台工程師,待遇面議,大學
資料科學家,待遇面議,碩士
影像處理FPGA IP工程師,待遇面議,碩士
演算法工程師,"月薪40,000~50,000元",大學
*加州矽谷公司台廠招募* Cluster Test Engineer 叢集測試工程師,待遇面議,大學
AI工程師,待遇面議,大學
AI工程師,待遇面議,大學
AI 前線部署工程師,"年薪500,000~800,000元",大學
【AI節能科技】 資深機器學習工程師 Senior ML engineer,"月薪60,000~100,000元",學歷不拘
機器人-AOI視覺 演算法工程師,"月薪70,000~98,000元",大學
知名金控 AI模型開發與研發人員,待遇面議,碩士
AI Agent 與流程自動化工程師 ( AI Agent & Workflow Automation Engineer ),"月薪50,000~80,000元",大學
AI工程師,待遇面議,專科
AI應用工程師,待遇面議,大學
AI交易工程師,待遇面議,大學
軟韌體工程師,待遇面議,大學
【G】AI軟體工程師主管(越南),待遇面議,大學
AI 知識工程師（AI Knowledge Engineer）,"月薪35,000~45,000元",專科
AI工程師,待遇面議,大學
AI資料科學家,"月薪45,000元以上",大學
AI/機器學習工程師 AI/ML Engineer | 計算生物 Computational Biology,"年薪800,000元以上",碩士
AI應用助理 (SEO/GEO 優化),"月薪50,000元以上",學歷不拘
AI工程師/區塊鏈工程師,"月薪65,000~100,000元",專科
Sr./Principal AI Computer Vision Engineer,待遇面議,碩士
AI研發工程師,待遇面議,大學
AI 創新部【3D圖學全端工程師】Sr. Full Stack Engineer – 3D Graphics & CV Application,待遇面議,大學
AI資深工程師,待遇面議,大學
機器人學習應用工程師,"月薪55,000~80,000元",大學
IoT 系統整合工程師,"月薪32,000~100,000元",專科
AI 應用型人才,"月薪35,000~70,000元",高中
LLM 生成式AI /機器學習 (ML) 工程師,待遇面議,大學
IT_AI系統整合(高級)工程師,待遇面議,專科
[台北]AI數據分析工程師(Data Science),"月薪40,000元以上",碩士
AI物理模擬與流體計算工程師 (歡迎土木/機械/力學背景跨領域),待遇面議,碩士
【台北】製造業大語言模型 (LLM)應用工程師,待遇面議,大學
AI工程師 (台南),待遇面議,大學
軟體工程師,待遇面議,大學
工研院機械所_軟體工程師(H500),待遇面議,碩士
【台北/台中】LLM 生成式AI /機器學習 (ML) 工程師,待遇面議,大學
人工智慧與電腦視覺工程師,"月薪40,000元以上",碩士
資料工程師 (Data Engineer),待遇面議,高中
AI演算法工程師,待遇面議,大學
資訊人員,"月薪40,000元以上",專科
【歡迎新鮮人投遞！】AI 工程師 (AI Engineer / LLM Specialist),"月薪40,000元以上",大學
AI 生醫應用工程師（Medical AI Engineer）,待遇面議,大學
全時工讀_工研院機械所_影像處理實習生(G100),"月薪32,500元以上",大學
資深資料科學家  Senior/Junior Data Scientist,待遇面議,大學
AI類-機器學習工程師(Machine Learning Engineer),待遇面議,大學
AI 工程師: 機器學習工程師/AI應用工程師 (台南),"月薪50,000~80,000元",大學
LLM Algorithm Applications Engineer,待遇面議,碩士
